width,distance,i_d,stylus,time,errors,performance_index,rank
"0,25",2,4,1-oz,"0,392","3,35","10,2",11
"0,25",4,5,1-oz,"0,484","3,41","10,33",9
"0,25",8,6,1-oz,"0,58","2,78","10,34",8
"0,25",16,7,1-oz,"0,731","3,65","9,58",14
"0,5",2,3,1-oz,"0,281","1,99","10,68",5
"0,5",4,4,1-oz,"0,372","2,72","10,75","3,5"
"0,5",8,5,1-oz,"0,469","2,05","10,66",6
"0,5",16,6,1-oz,"0,595","2,73","10,08",12
1,2,2,1-oz,"0,212","0,44","9,43",15
1,4,3,1-oz,"0,26","1,09","11,54",1
1,8,4,1-oz,"0,357","2,38","11,2",2
1,16,5,1-oz,"0,481","1,3","10,4",7
2,2,1,1-oz,"0,18",0,"5,56",15
2,4,2,1-oz,"0,203","0,08","9,85",13
2,8,3,1-oz,"0,279","0,87","10,75","3,5"
2,16,4,1-oz,"0,388","0,65","10,31",10
"0,25",2,4,1-lb,"0,406","3,8","9,85",7
"0,25",4,5,1-lb,"0,51","3,83","9,8",8
"0,25",8,6,1-lb,"0,649","4,04","9,24",13
"0,25",16,7,1-lb,"0,781","4,08","8,96",15
"0,5",2,3,1-lb,"0,281","0,88","10,68",4
"0,5",4,4,1-lb,"0,37","2,16","10,81",2
"0,5",8,5,1-lb,"0,485","2,32","10,31",6
"0,5",16,6,1-lb,"0,641","2,27","9,36",11
1,2,2,1-lb,"0,215","0,13","9,3",12
1,4,3,1-lb,"0,273","0,85","10,99",1
1,8,4,1-lb,"0,373","1,71","10,72",3
1,16,5,1-lb,"0,526","1,32","9,5",10
2,2,1,1-lb,"0,182",0,"5,49",16
2,4,2,1-lb,"0,219","0,09","9,13",14
2,8,3,1-lb,"0,284","0,65","10,56",5
2,16,4,1-lb,"0,413","1,72","9,68",9
