width,distance,i_d,time,performance_index,rank
"0,0625",4,7,"0,697","10,04","2,5"
"0,0625",8,8,"0,771","10,38",1
"0,0625",16,9,"0,896","10,04","2,5"
"0,0625",32,10,"1,096","9,12",7
"0,125",4,6,"0,649","9,24",6
"0,125",8,7,"0,734","9,54",4
"0,125",16,8,"0,844","9,48",5
"0,125",32,9,"1,028","8,75",10
"0,25",4,5,"0,607","8,24",12
"0,25",8,6,"0,672","8,93",9
"0,25",16,7,"0,771","9,08",8
"0,25",32,8,"0,975","8,2",13
"0,5",4,4,"0,535","7,47",16
"0,5",8,5,"0,623","8,02",14
"0,5",16,6,"0,724","8,29",11
"0,5",32,7,"0,902","7,76",15
