type,x,y,y_tr,width,distance,time
F,238,163,263.3265,72,120,263.3265
F,356,186,300.483,36,120,300.483
F,432,227,366.7185,72,360,366.7185
F,580,268,432.954,36,360,432.954
F,580,283,457.1865,12,120,457.1865
F,618,285,460.4175,72,840,460.4175
F,775,352,568.656,36,840,568.656
F,830,352,568.656,12,360,568.656
F,1034,424,684.972,12,840,684.972
N,238,192,310.176,72,120,310.176
N,356,227,366.7185,36,120,366.7185
N,432,248,400.644,72,360,400.644
N,580,335,541.1925,36,360,541.1925
N,580,352,568.656,12,120,568.656
N,618,335,541.1925,72,840,541.1925
N,775,392,633.276,36,840,633.276
N,830,449,725.3595,12,360,725.3595
N,1034,529,854.5995,12,840,854.5995
A,238,241,389.3355,72,120,389.3355
A,356,303,489.4965,36,120,489.4965
A,432,335,541.1925,72,360,541.1925
A,580,392,633.276,36,360,633.276
A,580,465,751.2075,12,120,751.2075
A,618,406,655.893,72,840,655.893
A,775,474,765.747,36,840,765.747
A,830,559,903.0645,12,360,903.0645
A,1034,699,1129.2345,12,840,1129.2345
