type,x,y,width,distance,time
EF,201,178,72,120,265.6716418
EF,301,211,36,120,314.9253731
EF,366,239,72,360,356.7164179
EF,387,278,36,360,414.9253731
EF,487,288,12,120,429.8507463
EF,517,309,72,840,461.1940299
EF,651,356,36,840,531.3432836
EF,700,362,12,360,540.2985075
EF,869,443,12,840,661.1940299
F,201,211,72,120,314.9253731
F,301,260,36,120,388.0597015
F,366,288,72,360,429.8507463
F,487,344,36,360,513.4328358
F,487,367,12,120,547.761194
F,517,376,72,840,561.1940299
F,651,443,36,840,661.1940299
F,700,474,12,360,707.4626866
F,869,574,12,840,856.7164179
N,201,247,72,120,368.6567164
N,301,314,36,120,468.6567164
N,366,326,72,360,486.5671642
N,487,384,36,360,573.1343284
N,487,453,12,120,676.119403
N,517,418,72,840,623.880597
N,651,482,36,840,719.4029851
N,700,546,12,360,814.9253731
N,869,680,12,840,1014.925373
A,201,367,72,120,547.761194
A,301,410,36,120,611.9402985
A,366,432,72,360,644.7761194
A,487,510,36,360,761.1940299
A,487,670,12,120,1000
A,517,546,72,840,814.9253731
A,651,637,36,840,950.7462687
A,700,783,12,360,1168.656716
A,869,958,12,840,1429.850746
EA,201,384,72,120,573.1343284
EA,301,464,36,120,692.5373134
EA,366,469,72,360,700
EA,487,561,36,360,837.3134328
EA,487,742,12,120,1107.462687
EA,517,579,72,840,864.1791045
EA,651,721,36,840,1076.119403
EA,700,881,12,360,1314.925373
EA,869,1075,12,840,1604.477612
