#{"t_start": 1627294149.254651, "env_id": null}
r,l,t
-1.04,5,0.020815
-1,1,0.023311
-1.05,6,0.031906
-1.18,19,0.053651
-1.09,10,0.066135
-1.01,2,0.070433
-1.04,5,0.076404
-1,1,0.078374
-1,1,0.080534
-1,1,0.082986
-1.09,10,0.095495
-1.04,5,0.100545
-1.03,4,0.106785
-1.07,8,0.115242
-1.02,3,0.118665
-1.01,2,0.122812
-1.01,2,0.125715
-1.11,12,0.140014
-1.01,2,0.142857
-1.02,3,0.146251
-1.03,4,0.15209
-1.02,3,0.156544
-1,1,0.158907
-1.01,2,0.161796
-1.03,4,0.167438
-1,1,0.169821
-1.01,2,0.172871
-1.02,3,0.176244
-1.02,3,0.180124
-1.01,2,0.182875
-1.08,9,0.192367
-1.03,4,0.198014
-1,1,0.200148
-1.01,2,0.203413
-1,1,0.206028
-1.09,10,0.219419
-1.01,2,0.22399
-1,1,0.226296
-1,1,0.228352
-1.04,5,0.234418
-1.01,2,0.237427
-1,1,0.239373
-1.02,3,0.244196
-1.01,2,0.246858
-1.16,17,0.26075
-1,1,0.262597
-1.02,3,0.266117
-1.1,11,0.27719
-1.04,5,0.284601
-1,1,0.286857
-1.02,3,0.290505
-1.01,2,0.293381
-1,1,0.294964
-1.01,2,0.297785
-1.06,7,0.306275
-1,1,0.308525
-1.02,3,0.314791
-1.03,4,0.319644
-1,1,0.321953
-1,1,0.32408
-1.02,3,0.329942
-1.07,8,0.340207
-1,1,0.342261
-1.17,18,0.358253
-1,1,0.360316
-1.02,3,0.364172
-1.09,10,0.375166
-1,1,0.377003
-1.04,5,0.382879
-1.03,4,0.391187
-1.07,8,0.399654
-1.03,4,0.404994
-1.01,2,0.407732
-1.05,6,0.415481
-1,1,0.417387
-1.04,5,0.426029
-1,1,0.428087
-1,1,0.430332
-1,1,0.4322
-1,1,0.434439
-1.05,6,0.439938
-1,1,0.442311
-1,1,0.444404
-1.01,2,0.447117
-1.06,7,0.455377
-1.02,3,0.460164
-1.07,8,0.469523
-1.1,11,0.484554
-1.04,5,0.489422
-1.06,7,0.498377
-1.02,3,0.501957
-1.06,7,0.508365
-1.01,2,0.511385
-1,1,0.513372
-1.02,3,0.518511
-1.02,3,0.522543
-1.06,7,0.530847
-1,1,0.532991
-1,1,0.535068
-1.02,3,0.53951
-1.03,4,0.543848
-1.03,4,0.551076
-1.01,2,0.55609
-1,1,0.558454
-1.08,9,0.576033
-1.03,4,0.583117
-1,1,0.585679
-1,1,0.587925
-1,1,0.590059
-1.01,2,0.594416
-1.12,13,0.610921
-1,1,0.61274
-1,1,0.614961
-1.02,3,0.619856
-1.04,5,0.624843
-1.03,4,0.630371
-1.02,3,0.63526
-1.02,3,0.638687
-1.06,7,0.649824
-1.02,3,0.653126
-1.02,3,0.656693
-1.2,21,0.676304
-1,1,0.678353
-1.02,3,0.684459
-1.05,6,0.692863
-1.02,3,0.697779
-1.04,5,0.706259
-1.02,3,0.711499
-1.05,6,0.720171
-1.03,4,0.726916
-1.04,5,0.733114
-1.01,2,0.73603
-1,1,0.738093
-1.05,6,0.744974
-1.01,2,0.748436
-1.01,2,0.752288
-1,1,0.754507
-1,1,0.756815
-1.02,3,0.761235
-1.04,5,0.768933
-1.01,2,0.771588
-1.01,2,0.775516
-1.05,6,0.782104
-1.01,2,0.785703
-1,1,0.787928
-1.15,16,0.808227
-1,1,0.810228
-1.06,7,0.815781
-1,1,0.817609
-1.03,4,0.822639
-1,1,0.825065
-1.07,8,0.83418
-1,1,0.836197
-1,1,0.838419
-1,1,0.840776
-1.02,3,0.846559
-1.01,2,0.849534
-1.01,2,0.852745
-1.03,4,0.858868
-1.02,3,0.864975
-1,1,0.867179
-1.04,5,0.873213
-1,1,0.875322
-1.02,3,0.878946
-1,1,0.881056
-1,1,0.883371
-1.11,12,0.897192
-1.03,4,0.902857
-1.05,6,0.910023
-1,1,0.912429
-1.04,5,0.918431
-1.05,6,0.926148
-1,1,0.928331
-1.01,2,0.931592
-1.02,3,0.936413
-1,1,0.93857
-1.02,3,0.943368
-1.08,9,0.952171
-1.02,3,0.957141
-1.05,6,0.964054
-1.03,4,0.968815
-1,1,0.970491
-1.07,8,0.980114
-1.02,3,0.985475
